#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
66.0%	6600	33.19999999999461	-374479.6429565251	59263.91386289845	-315215.7290936266	296.8931393427215	233.74049131152952	1.0224999160432298	78	14.40151596069336	0:07
67.0%	6700	33.399999999994854	-373761.044612583	59387.74988762918	-314373.2947249538	297.51351798040446	233.69523371238517	1.0226979341653382	77.9	14.639219999313354	0:07
68.0%	6800	33.5999999999951	-374151.30890024593	60266.359585827566	-313884.94931441837	301.91506986168156	234.01655501601368	1.0212936974719056	77.9	14.85627007484436	0:07
69.0%	6900	33.79999999999534	-374385.890260627	60494.844293187256	-313891.0459674398	303.05970472695134	233.91808135776986	1.021723636559759	77.9	15.07542109489441	0:06
70.0%	7000	33.99999999999559	-374456.0433727442	60064.28269357351	-314391.7606791707	300.9027296529548	233.54362704344587	1.0233618265142441	77.9	15.29765510559082	0:06
71.0%	7100	34.19999999999583	-374461.9031857592	59961.064051124355	-314500.8391346348	300.38563746653057	233.53319960720876	1.0234075204036417	78	15.514482259750366	0:06
72.0%	7200	34.399999999996076	-374510.3309483647	59842.71067598765	-314667.62027237704	299.7927251391836	233.71309885096062	1.0226197586569712	78	15.733931064605713	0:06
73.0%	7300	34.59999999999632	-374896.71074523125	60037.17954371887	-314859.5312015124	300.7669515930542	233.95473663565207	1.0215635561768803	78	15.955170154571533	0:05
74.0%	7400	34.799999999996565	-374124.37037384	59364.35072872392	-314760.01964511606	297.39629572334206	234.87830853933693	1.0175466360782102	78	16.171534061431885	0:05
75.0%	7500	34.99999999999681	-374856.0278348259	59524.72554740647	-315331.30228741944	298.19972196178344	234.60693082644653	1.0187236664322812	78	16.393100023269653	0:05
76.0%	7600	35.199999999997054	-375101.5592086122	59433.41518441553	-315668.14402419666	297.74228642376585	233.52232047532996	1.0234551980104654	78	16.60895800590515	0:05
77.0%	7700	35.3999999999973	-375403.49181112554	59548.39031280822	-315855.1014983173	298.3182748219301	233.72174288790498	1.0225819377727665	78	16.83321213722229	0:05
78.0%	7800	35.59999999999754	-375785.35118612554	59874.247985626454	-315911.1032004991	299.95071691284113	233.72174288790498	1.0225819377727665	78	17.050949096679688	0:04
79.0%	7900	35.79999999999779	-375373.29001560574	59738.67695471988	-315634.61306088587	299.2715496701427	234.13540352822105	1.0207752827655339	78.1	17.267726182937622	0:04
80.0%	8000	35.99999999999803	-375431.9209889658	60289.363527558045	-315142.55746140773	302.03031220786573	233.7015972916767	1.0226700866047276	78	17.49534797668457	0:04
81.0%	8100	36.199999999998276	-374724.5261739879	59300.29976843356	-315424.22640555433	297.07542102170635	233.59678379660895	1.0231289526230698	78.1	17.70958423614502	0:04
82.0%	8200	36.39999999999852	-375662.78757356387	60308.5032557752	-315354.28431778867	302.1261960877206	233.7940522170634	1.0222656670497576	78.1	17.932512044906616	0:03
83.0%	8300	36.599999999998765	-374862.2643145288	59830.53067228163	-315031.73364224716	299.7317072397271	233.5722421001265	1.023236453925416	78.1	18.140640020370483	0:03
84.0%	8400	36.79999999999901	-375109.5807207788	59786.65231917519	-315322.9284016036	299.51189080922444	233.5722421001265	1.023236453925416	78.2	18.348528146743774	0:03
85.0%	8500	36.999999999999254	-375229.3932207788	59796.83431343944	-315432.55890733935	299.5628993242691	233.5722421001265	1.023236453925416	78.2	18.567123889923096	0:03
86.0%	8600	37.1999999999995	-374813.13141688355	59487.26248712966	-315325.8689297539	298.01204408413435	233.55533695104015	1.0233105175928534	78.2	18.77467107772827	0:03
87.0%	8700	37.39999999999974	-374854.7878646613	59595.284331636736	-315259.5035330246	298.5531987673618	233.7863566964586	1.0222993168598473	78.2	18.996366024017334	0:02
88.0%	8800	37.59999999999999	-374871.0417709113	59694.33188592858	-315176.70988498273	299.0493951442321	233.7863566964586	1.0222993168598473	78.3	19.21009612083435	0:02
89.0%	8900	37.80000000000023	-374689.8455938911	60014.99349423114	-314674.85209965997	300.65580662383627	233.43326348889588	1.0238456557983695	78.3	19.42742919921875	0:02
90.0%	9000	38.000000000000476	-375194.87160591874	60347.47887436845	-314847.39273155027	302.3214513958452	233.63967999462875	1.0229411063541805	78.3	19.644220113754272	0:02
91.0%	9100	38.20000000000072	-375172.44071495766	60115.52768954483	-315056.9130254128	301.1594505938756	233.71304407465243	1.022619998332661	78.3	19.859077215194702	0:01
92.0%	9200	38.400000000000965	-375023.75321495766	60011.177214565454	-315012.5760003922	300.6366882906602	233.71304407465243	1.022619998332661	78.3	20.086063146591187	0:01
93.0%	9300	38.60000000000121	-375503.5310213403	60315.91797172488	-315187.6130496154	302.1633414288252	233.76599300560304	1.022388370819248	78.2	20.32258915901184	0:01
94.0%	9400	38.800000000001454	-375512.0036775903	60256.821388581186	-315255.1822890091	301.8672865625444	233.76599300560304	1.022388370819248	78.2	20.560595989227295	0:01
95.0%	9500	39.0000000000017	-375017.76667921245	60155.73233315698	-314862.0343460555	301.3608629218865	234.24676452514387	1.020290005825409	78.1	20.7970290184021	0:01
96.0%	9600	39.20000000000194	-374943.23542921245	60016.810914754635	-314926.4245144578	300.664911315875	234.24676452514387	1.020290005825409	78.1	21.021183013916016	0:00
97.0%	9700	39.40000000000219	-374574.9755289387	59884.09400933306	-314690.88151960564	300.0000423234959	234.34645251695204	1.0198559874707451	78	21.257522106170654	0:00
98.0%	9800	39.60000000000243	-375268.5880921229	60720.92741367663	-314547.6606784463	304.1923084147498	234.39820613920855	1.019630809802362	78	21.47698712348938	0:00
99.0%	9900	39.800000000002676	-374263.4394609276	60055.172485503135	-314208.2669754245	300.8570904418771	234.3850433185495	1.0196880712099068	78	21.70488214492798	0:00
100.0%	10000	40.00000000000292	-374375.63691171305	59747.99421347852	-314627.64269823453	299.3182261385468	234.3627623899352	1.0197850132193447	78	21.9345600605011	0:00
